name,describe
alu pitika,indian main course nonvegetarian potatoes mustard oil fish green chillies halal
asian salmon bowl lime drizzle,thai nonvegetarian jasmine rice garlic butter soy sauce salmon fillet spinach black sesame seeds halal
baked cod lemon,healthy main course nonvegetarian cod fillets lemon zest olive oil parsley garlic halal
bao bun,chinese nonvegetarian sesame seed purpose flour spring onion teriyaki sauce halal
beef bibimbab,korean nonvegetarian beef cucumber carrot mushrooms spinich rice gochujang soy sauce halal
biryani,indian nonvegetarian chicken rice cinamon clove ginger garlic yougurt turmeric powder cumin powder corriender powder halal
biryani,indian main course nonvegetarian chicken thighs basmati rice star anise sweet green chillies halal
black rice,indian main course nonvegetarian forbidden black rice chicken olive oil slivered almonds garlic powder halal
bombil fry,indian main course nonvegetarian bombay duck malvani masala rice flour bombay rava green chilies halal
braised beef short ribs,korean nonvegetarian beef scallion raddish spanich halal
butter chicken,indian main course nonvegetarian chicken greek yogurt cream garam masala powder cashew nuts butter halal
chicken momo,nepalese nonvegetarian minced chicken meat coriender cumin powder garlic ginger onion flour wrapping halal
chicken tikka,indian starter nonvegetarian chicken whole wheat bread rice flour garam masala powder whole egg halal
chicken tikka masala,indian main course nonvegetarian naan bread tomato sauce skinless chicken breasts heavy cream garam masala halal
chicken varuval,indian main course nonvegetarian meat curry powder chicken chunks ginger tomato cinnamon halal
chicken dumplings,chinese nonvegetarian purpose flour egg nutmeg chicken broth carrot salt chives pepper chicken thighs halal
chicken razala,indian main course nonvegetarian chicken dahi sesame seeds garam masala powder cashew nuts saffron halal
chingri bhape,indian main course nonvegetarian coconut prawns curd mustard seed green chili halal
chingri malai curry,indian main course nonvegetarian coconut milk lobster fresh green chilli ginger red onion halal
egg curry tomatoes cilantro,indian nonvegetarian boiled egg cilantro garlic cucumber tumeric powder tomatoes halal
eggplant beef stir fry,thai nonvegetarian soya sauce mint thai chillies vermicelli noodles beef asaian eggplat halal
fig sesame tart cardamom orange cream,dessert nonvegetarian purpose flour sugar salt unsalted butter egg yolk heavy cream cinnamon orange zest fig sesame seeds mild honey halal
galho,indian main course nonvegetarian rice axone salt water chillies pork halal
grill lemon grass pork baguette,vietnames nonvegetarian lemon grass pork coriender cucumber pickeled carrot chilli halal
grilled branzino,healthy main course nonvegetarian branzino olive oil lemon garlic herbs halal
grilled chicken salad,healthy salad nonvegetarian mixed greens grilled chicken avocado nuts vinaigrette halal
grilled chicken almond garlic sauce,healthy food nonvegetarian lemon juice olive oil mushrooms lemon zest chicken breast roasted almonds garlic halal
grilled salmon,healthy main course nonvegetarian salmon fillets olive oil garlic lemon herbs halal
grilled sweet prawn,chinese nonvegetarian prawn teriyaki sauce salmon avacado cucumber halal
haq maas,indian main course nonvegetarian lamb garam masala powder curd turmeric bay leaf halal
harira,arabic soup nonvegetarian tomatoes lentils chickpeas lamb cilantro celery onion spices halal
hyakula,nepalese nonvegetarian lamb ribs cumin powder turmeric powder nepali spices mustard oil halal
kabiraji,indian main course nonvegetarian fish fillet besan lemon mint ginger halal
kibbeh,arabic snack nonvegetarian bulgur minced onions finely ground lean beef lamb middle eastern spices halal
kimchi bokumbab,korean nonvegetarian cabbage kimchi stir fried eggs rice seaweed sesame seeds spring onion halal
koldil chicken,indian main course nonvegetarian banana flower chicken green chili mustard oil lemon juice halal
koldil duck,indian main course nonvegetarian rice flour mutton banana gram flour olive oil baking powder halal
kolim jawla,indian main course nonvegetarian baingan fish coconut oil fresh coconut ginger halal
konir dom,indian main course nonvegetarian aloo tomatoes mustard oil bay leaf cinnamon stick halal
korean fried chicken,korean nonvegetarian korean sauce boneless chicken sesame seeds halal
lamb shashlik,indian nonvegetarian minced lamb marinated indian spices garlic ginger coriander yogurt turmeric cloves halal
lamb green squash dumplings,chinese nonvegetarian squash zucchini scallions soya sauce ginger cooking wine vineger purpose flour sichuan peppercorns ground lamb halal
lemon ginger cake pistachios,dessert nonvegetarian egg yolks lemon juice unsalted butter purpose flour sugar ginger milk halal
mandi,arabic main course nonvegetarian rice chicken lamb saffron cardamom pods cloves cinnamon sticks bay leaves onions garlic dried lime loomi cumin powder coriander powder salt black pepper ghee clarified butter halal
maqluba,arabic main course nonvegetarian rice chicken lamb potatoes cauliflower eggplant tomatoes spices halal
masor koni,indian main course nonvegetarian fish roe pumpkin flowers mustard oil turmeric tomato halal
masor tenga,indian main course nonvegetarian ridge gourd fish lemon tomatoes mustard oil halal
melted broccoli pasta capers anchovies,french nonvegetarian broccoli bread crumbs anchovy fillets garlic cloves red pepper flakes penne pasta olive oil halal
miso butter roast chicken acorn squash panzanella,japanese nonvegetarian chicken acorn squash sage rosemary butter halal
noodle curry,vietnames nonvegetarian vegetable stock curry coconut lime leaves raddish carrot halal
