name,course,diet,ingredients
Adhirasam,Indian dessert,vegetarian,"Rice flour, jaggery, ghee, vegetable oil, elachi"
Alo Achar,Nepalese,vegetarian,"boiled potatoes, peas, cucumber, mustard oil, turmeric powder, cumin powder, carrot, salt"
Alo Tama Bodi,Nepalese,vegetarian,"bamboo shoot, black eye bean, potato"
Aloo gobi,Indian main course,vegetarian,"Cauliflower, potato, garam masala, turmeric, curry leaves"
Aloo matar,Indian main course,vegetarian,"Potato, peas, chillies, ginger, garam masala, garlic"
Aloo methi,Indian main course,vegetarian,"Potato, fenugreek leaves, chillies, salt, oil"
Aloo shimla mirch,Indian main course,vegetarian,"Potato, shimla mirch, garam masala, amchur powder, salt"
Aloo tikki,Indian main course,vegetarian,"Rice flour, potato, bread crumbs, garam masala, salt"
Alu Pitika,Indian main course,nonvegetarian,"Potatoes, mustard oil, fish, green chillies"
Amti,Indian main course,vegetarian,"Kala masala, arhar dal, curry leaves, mustard seeds, hot water"
Anarsa,Indian dessert,vegetarian,"Rice flour, jaggery, khus-khus seeds"
Apple Cinnamon Oatmeal,Healthy Breakfast,vegetarian,"Oats, apple, cinnamon, honey, milk"
Ariselu,Indian dessert,vegetarian,"Rice flour, jaggery, ghee"
Asian Salmon Bowl with Lime Drizzle,Thai,nonvegetarian," jasmine rice, garlic, butter, soy sauce, salmon fillet,spinach,black sesame seeds"
Attu,Indian snack,vegetarian,"Whole wheat flour, arhar dal, ginger, kala jeera, green chilli"
Avial,Indian main course,vegetarian,"Raw banana, elephant foot yam, long beans, tindora, urad dal"
Avocado Toast,Healthy Snack,vegetarian,"Whole grain bread, avocado, radish, sesame seeds, salt, pepper"
Baba Ganoush,Arabic Snack,vegetarian,"Roasted eggplant, tahini, lemon juice, garlic, olive oil, salt, parsley, smoked paprika"
Bajri no rotlo,Indian main course,vegetarian,"Wheat flour, pearl millet flour, hot water"
Baked Cod with Lemon,Healthy Main Course,nonvegetarian,"Cod fillets, lemon zest, olive oil, parsley, garlic"
Baked Trout with Herbs,Healthy Main Course,nonvegetarian,"Trout, herbs, lemon slices, olive oil, garlic"
Baklava,Arabic Dessert,vegetarian,"Phyllo pastry, nuts, honey, syrup"
Balu shahi,Indian dessert,vegetarian,"Maida flour, yogurt, oil, sugar"
Banana Almond Smoothie,Healthy Drink,vegetarian,"Bananas, almond milk, almond butter, vanilla extract"
Bandar laddu,Indian dessert,vegetarian,"Besan, jaggery, cardamom powder, ghee, cashews and raisins, jaggery syrup, sugar"
Bao Bun ,Chinese,nonvegetarian,"sesame seed, all purpose flour, spring onion, teriyaki sauce"
Barazek,Arabic Dessert,vegetarian,"Sesame seeds, pistachios, honey, butter, sugar"
Basbousa,Arabic Dessert,vegetarian,"Semolina, coconut, yogurt, sugar, almonds"
Basmati Rice with Summer Vegetable Salad,Indian,vegetarian,"basmati rice,shallot,radishes,greens, sprouts, tomatoes, peas, summer squash,carrot, oil,salt"
Basundi,Indian dessert,vegetarian,"Sugar, milk, nuts"
Bean Curd Rolls,Vietnames,vegetarian,"bean curd,mix herbs, lettuce, cucuber, rice paper"
Bebinca,Indian dessert,vegetarian,"Coconut milk, egg yolks, clarified butter, all purpose flour"
Beef Bibimbab,Korean,nonvegetarian,"Beef,Cucumber,carrot, mushrooms,Spinich,Rice, Gochujang, Soy sauce"
Beef Fry,Indian main course,nonvegetarian,"Beef, coconut, garam masala, curry leaves, green chilies, chili powder"
Bengena Pitika,Indian main course,vegetarian,"Brinjal, onions, salt, sesame seeds, coriander"
Bhakri,Indian main course,vegetarian,"Jowar flour, sesame seeds"
Bhatura,Indian main course,vegetarian,"Chole, rava, yogurt, plain flour, baking soda"
Bhindi masala,Indian main course,vegetarian,"Ladies finger, garam masala, kasuri methi, tomatoes, chili powder"
Bilahi Maas,Indian main course,nonvegetarian,"Potatoes, garam masala, tomatoes, mustard oil, bay leaf"
Biryani,Indian,nonvegetarian,"Chicken, Rice, Cinamon, Clove, ginger, garlic, yougurt, turmeric powder, cumin powder, corriender powder"
Biryani,Indian main course,nonvegetarian,"Chicken thighs, basmati rice, star anise, sweet, green chillies"
Bisi bele bath,Indian main course,vegetarian,"Split pigeon peas, chana dal, urad dal, green peas, french beans"
Black Bean Burger,Healthy Main Course,vegetarian,"Black beans, breadcrumbs, spices, garlic, onion"
Black rice,Indian main course,nonvegetarian,"Forbidden black rice, chicken, olive oil, slivered almonds, garlic powder"
Black-Bean Burgers,Chinese,vegetarian,"cumin, black bean, cilantro, lettuce,sour cream, oregano, buns"
Bombil fry,Indian main course,nonvegetarian,"Bombay duck, malvani masala, rice flour, bombay rava, green chilies"
Boondi,Indian dessert,vegetarian,"Gram flour, ghee, sugar"
Bora Sawul,Indian main course,vegetarian,"Biryani masala, mixed vegetables, yellow moong daal, whole red, mustard seeds"
Braised Beef Short Ribs,Korean,nonvegetarian,"Beef, Scallion, Raddish, Spanich "
Bringle Alo,Nepalese,vegetarian,"aubergine,potato, garlic, ginger, cumin seeds, spices"
Broccoli Soup,Healthy Soup,vegetarian,"Broccoli, onion, vegetable stock, cream, seasoning"
Brown Rice,Indian main course,vegetarian,"Brown rice, soy sauce, olive oil"
Butter chicken,Indian main course,nonvegetarian,"Chicken, greek yogurt, cream, garam masala powder, cashew nuts, butter"
Butternut Squash Salad,Healthy Salad,vegetarian,"Butternut squash, mixed greens, cranberries, nuts, vinaigrette"
Carrot Ginger Juice,Healthy Drink,vegetarian,"Carrots, ginger, apple, lemon juice"
Cauliflower Rice,Healthy Side Dish,vegetarian,"Cauliflower, garlic, olive oil, salt, pepper"
Chak Hao Kheer,Indian dessert,vegetarian,"Rice, milk, sugar, cardamom"
Chakali,Indian snack,vegetarian,"Rice flour, sesame, plain flour, turmeric, red chilli"
Cham cham,Indian dessert,vegetarian,"Flour, cream, sugar, saffron, lemon juice, coconut flakes"
Chana masala,Indian main course,vegetarian,"Chickpeas, tomato paste, garam masala, ginger, red onion, avocado oil"
Channa Masala,Indian,vegetarian,"chickpeas, turmeric powder, onion, ginger, garlic, curry powder"
Chapati,Indian main course,vegetarian,"Whole wheat flour, olive oil, hot water, all purpose flour"
Cheera Doi,Indian dessert,vegetarian,"Rice, mango, curd"
Cheese Naan,Indian,vegetarian,"Aall purpose flour, yougurt, cheese"
Chevdo,Indian snack,vegetarian,"Citric acid, fry, raisins, sugar, chana daal"
Chhena jalebi,Indian dessert,vegetarian,"Chhena, sugar, ghee"
Chhena kheeri,Indian dessert,vegetarian,"Chhena, sugar, milk"
Chhena poda,Indian dessert,vegetarian,"Sugar, chenna cheese"
Chia Pudding,Healthy Dessert,vegetarian,"Chia seeds, almond milk, honey, fresh berries"
Chicken Momo,Nepalese,nonvegetarian,"minced chicken meat, coriender, cumin powder,garlic,ginger,onion,flour wrapping"
Chicken Sweet Corn Soup,Chinese,nonvegetarian,"Chicken,Chicken brouth, Sweet corn, garlic, ginger"
Chicken Tikka,Indian starter,nonvegetarian,"Chicken, whole wheat bread, rice flour, garam masala powder, whole egg"
Chicken Tikka masala,Indian main course,nonvegetarian,"Naan bread, tomato sauce, skinless chicken breasts, heavy cream, garam masala"
Chicken Varuval,Indian main course,nonvegetarian,"Meat curry powder, chicken chunks, ginger, tomato, cinnamon"
Chicken and Dumplings,Chinese,nonvegetarian,"purpose flour,egg,nutmeg, chicken broth, carrot,salt,chives, pepper, chicken thighs"
Chicken razala,Indian main course,nonvegetarian,"Chicken, dahi, sesame seeds, garam masala powder, cashew nuts, saffron"
Chikki,Indian dessert,vegetarian,"Peanuts, jaggery"
Chingri Bhape,Indian main course,nonvegetarian,"Coconut, prawns, curd, mustard seed, green chili"
Chingri malai curry,Indian main course,nonvegetarian,"Coconut milk, lobster, fresh green chilli, ginger, red onion"
Chole bhature,Indian main course,vegetarian,"Chole, bhatura, garam masala, bay leaf, cinnamon stick"
Chorafali,Indian snack,vegetarian,"Urad dal, bengal gram flour, dried mango, baking soda, black salt"
Churma Ladoo,Indian dessert,vegetarian,"Whole wheat flour, khus khus, sesame seeds, dry coconut, gur"
Coconut Yogurt Parfait,Healthy Dessert,vegetarian,"Coconut yogurt, granola, coconut flakes, fresh mango"
Coconut vadi,Indian dessert,vegetarian,"Condensed milk, mawa, desiccated coconut, almonds, cashews"
Copra paak,Indian main course,vegetarian,"Condensed milk, nestle cream, coconut ice, red food coloring, desiccated coconut"
Crispy Pakora,Indian,vegetarian,"Cabbage, carrot, onion, gram flour"
Crispy Tofu Balls,Japanese,vegetarian," tofu, scallions, mushrooms,Spicy aioli,corn, white pepper, vegetable oil"
Cucumber and Radish Salad,Healthy Food,vegetarian,"cucumber,raddish,vinegar, coriander,olive, salt papper"
Currivepillai sadam ,Indian main course,vegetarian,"Chana dal, urad dal, fresh coconut, sesame seeds, curry leaves"
Daal Dhokli,Indian main course,vegetarian,"Whole wheat flour, dal, kokum, gur, bengal gram flour"
Daal baati churma,Indian main course,vegetarian,"Moong dal, masoor dal, chana dal, wheat flour, almond"
Daal puri,Indian main course,vegetarian,"Moong dal, garam masala powder, garlic, green chilli, all purpose flour"
Dahi vada,Indian snack,vegetarian,"Urad dal, bhuna chana, garam masala, dates, tamarind"
Dal makhani ,Indian main course,vegetarian,"Red kidney beans, urad dal, cream, garam masala, chili powder"
Dal tadka,Indian main course,vegetarian,"Pigeon peas, garam masala, ginger, red onion, kasuri methi"
Dalithoy,Indian main course,vegetarian,"Arhar dal, coconut oil, curry leaves, mustard seeds, red chilli"
Dharwad pedha,Indian dessert,vegetarian,"Milk, Sugar, Dharwadi buffalo milk"
Dhokla,Indian snack,vegetarian,"Rava, coconut, gram flour, mustard, sesame"
Dhondas,Indian dessert,vegetarian,"Cucumber, rava"
Doodhpak,Indian dessert,vegetarian,"Milk, rice, sugar, dry fruits"
Dosa,Indian snack,vegetarian,"Chana dal, urad dal, whole urad dal, blend rice, rock salt"
Double ka meetha,Indian dessert,vegetarian,"Loaf bread, milk"
Dudhi halwa,Indian dessert,vegetarian,"Bottle gourd, green, raisins, sugar, clarified butter"
Dum aloo,Indian main course,vegetarian,"Baby potatoes, garam masala, cashew nuts, kasuri methi, tomatoes"
Egg Curry with Tomatoes and Cilantro,Indian,nonvegetarian,"boiled egg, cilantro, garlic,cucumber,tumeric powder,tomatoes,"
Eggplant Rollatini,Healthy Main Course,vegetarian,"Eggplant, ricotta cheese, spinach, marinara sauce, mozzarella"
Eggplant and Beef Stir-Fry,Thai,nonvegetarian,"soya sauce,mint,thai chillies,vermicelli noodles,beef, asaian eggplat"
Falafel,Arabic Snack,vegetarian,"Chickpeas, parsley, coriander, garlic, onion, cumin, coriander seeds, salt, black pepper, baking soda, sesame seeds, olive oil for frying"
Falooda,Arabic Dessert,vegetarian,"Milk, rose syrup, vermicelli, pistachios, basil seeds"
Fara,Indian snack,vegetarian,"Chana dal, whole wheat flour, arhar dal, white urad dal, garam masala powder"
Farsi Puri,Indian snack,vegetarian,"Semolina, clarified butter, oil, white flour, black pepper"
Fattoush,Arabic Salad,vegetarian,"Lettuce, tomatoes, cucumber, radishes, mint, parsley, green onions, sumac, olive oil, lemon juice, salt, pepper, toasted pita bread"
Fig and Sesame Tart with Cardamom Orange Cream,Dessert,nonvegetarian," all-purpose flour,sugar,salt,unsalted butter, egg yolk,heavy cream, cinnamon,orange zest, fig,sesame seeds, mild honey"
French Spiced Bread,French,vegetarian,"all purpose flour, butter, dried appricots, honey, milk dried plumps, sugar,salt"
Frenched Green Beans,French,vegetarian," green beans, Olive Oil, black paper, vineger,"
Fresh Corn Tortillas,Mexican,vegetarian,"corn tortilla mix,corn,salt"
Gajar ka halwa,Indian dessert,vegetarian,"Carrots, milk, sugar, ghee, cashews, raisins"
Galho,Indian main course,nonvegetarian,"Rice, axone, salt, water, chillies, pork"
Garlic Green Beans,Healthy Side Dish,vegetarian,"Green beans, garlic, olive oil, lemon zest"
Garlic Naan,Indian,vegetarian,"garlic, all purpose flour, yougurt, cumin seed"
Gatta curry,Indian main course,vegetarian,"Yogurt, besan, sauce, garam masala powder, gram flour"
Gavvalu,Indian dessert,vegetarian,"Rice flour, sugar, salt, ghee, semolina"
Gheela Pitha,Indian dessert,vegetarian,"Sticky rice, rice flour, jaggery, orange rind"
Ghevar,Indian dessert,vegetarian,"Flour, ghee, kewra, milk, clarified butter, sugar, almonds, pistachio, saffron, green cardamom"
Ghooghra,Indian snack,vegetarian,"Dry fruits, semolina, all purpose flour"
Goja,Indian dessert,vegetarian,"Baking soda, clarified butter, oil, all purpose flour"
Greek Yogurt Parfait,Healthy Dessert,vegetarian,"Greek yogurt, granola, honey, mixed berries"
Grill Lemon grass Pork baguette,Vietnames,nonvegetarian,"Lemon grass, pork, coriender,cucumber, pickeled carrot, chilli"
Grilled Branzino,Healthy Main Course,nonvegetarian,"Branzino, olive oil, lemon, garlic, herbs"
Grilled Chicken Salad,Healthy Salad,nonvegetarian,"Mixed greens, grilled chicken, avocado, nuts, vinaigrette"
Grilled Chicken with Almond and Garlic Sauce,Healthy Food,nonvegetarian,"lemon juice, olive oil, mushrooms lemon zest, chicken breast, roasted almonds, garlic"
Grilled Clams With Herb Butter,French,nonvegetarian," parsley, pepper, salt, scallion, lemon juice, littleneck clams"
Grilled Salmon,Healthy Main Course,nonvegetarian,"Salmon fillets, olive oil, garlic, lemon, herbs"
Grilled Sweet Prawn,Chinese,nonvegetarian,"Prawn, teriyaki sauce, salmon, avacado, cucumber"
Ground Pork Menudo,Spanish,nonvegetarian,"onion, garlic, olive oil, minced pork, fish sauce,  green peas, black peper"
Gud papdi,Indian dessert,vegetarian,"Wheat flour, jaggery, clarified butter, sliced almonds"
Gulab jamun,Indian dessert,vegetarian,"Milk powder, plain flour, baking powder, ghee, milk, sugar, water, rose water"
Halva,Arabic Dessert,vegetarian,"Sesame paste, sugar, pistachios, cardamom"
Halvasan,Indian dessert,vegetarian,"Whole wheat rava, chia seed, lemon, edible gum, litre milk"
Hando Guri,Indian dessert,vegetarian,"Jaggery, raisins"
Handwo,Indian snack,vegetarian,"Bottle gourd, chana dal, cabbage, urad dal, toor dal"
Haq Maas,Indian main course,nonvegetarian,"Lamb, garam masala powder, curd, turmeric, bay leaf"
Harira,Arabic Soup,nonvegetarian,"Tomatoes, lentils, chickpeas, lamb, cilantro, celery, onion, spices"
Honeydew Salad with Ginger Dressing and Peanuts,Healthy Food,vegetarian,"peeled ginger, lightbrown sugar,chilli, honeydew melon,cucumber, avacado"
Hummus,Arabic Snack,vegetarian,"Cooked chickpeas, tahini (sesame paste), lemon juice, garlic, olive oil, salt, paprika, cumin"
Hyakula,Nepalese,nonvegetarian,"lamb ribs, cumin powder,turmeric powder,nepali spices, mustard oil "
Idiappam,Indian snack,vegetarian,"Rice flour, hot water, grated coconut"
Idli,Indian snack,vegetarian,"Split urad dal, urad dal, idli rice, thick poha, rock salt"
Imarti,Indian dessert,vegetarian,"Sugar syrup, lentil flour"
Jalebi,Indian dessert,vegetarian,"Maida, corn flour, baking soda, vinegar, curd, water, turmeric, saffron, cardamom"
Jeera Aloo,Indian main course,vegetarian,"Green chilies, lemon juice, chili powder, boiled potatoes"
Jeera Alu,Nepalese,vegetarian,"boiled potatoes, cumin seeds, lemon juice"
Kaara kozhambu,Indian main course,vegetarian,"Sesame oil, drumstick, tamarind paste, sambar powder, tomato"
Kabiraji,Indian main course,nonvegetarian,"Fish fillet, besan, lemon, mint, ginger"
Kachori,Indian snack,vegetarian,"Moong dal, rava, garam masala, dough, fennel seeds"
Kadai paneer,Indian main course,vegetarian,"Cottage cheese, bell peppers, gravy, garam masala, cashew nuts"
Kadhi pakoda,Indian main course,vegetarian,"Besan, garam masala powder, gram flour, ginger, curry leaves"
Kajjikaya,Indian dessert,vegetarian,"Rice flour, jaggery, coconut"
Kaju katli,Indian dessert,vegetarian,"Cashews, ghee, cardamom, sugar"
Kakinada khaja,Indian dessert,vegetarian,"Wheat flour, sugar"
Kalakand,Indian dessert,vegetarian,"Milk, cottage cheese, sugar"
Kale Caesar Salad,Healthy Salad,vegetarian,"Kale, parmesan cheese, croutons, Caesar dressing"
Kale Smoothie,Healthy Drink,vegetarian,"Kale, banana, almond milk, honey, flaxseeds"
Kanji,Indian snack,vegetarian,"Carrot, yellow mustard, red chilli, black salt"
Kansar,Indian main course,vegetarian,"Wheat flour, cashews, rapeseed oil"
Karela bharta,Indian main course,vegetarian,"Bitter gourd, fennel, garam masala powder, chili powder, amchur powder"
Keerai kootu,Indian main course,vegetarian,"Moong dal, chana dal, spinach, urad dal, coconut oil"
Keerai masiyal,Indian main course,vegetarian,"Urad dal, curry leaves, sugar, mustard seeds, spinach"
Keerai poriyal,Indian main course,vegetarian,"Amaranth leaves, split urad dal, mustard seeds, grated coconut, red chili"
Keerai sadam,Indian main course,vegetarian,"Greens, tomato, mustard seeds, fenugreek seeds"
Keri no ras,Indian main course,vegetarian,"Mango, sugar"
Khakhra,Indian snack,vegetarian,"Whole wheat flour, low fat, bengal gram flour"
Khaman,Indian snack,vegetarian,"Yogurt, fresh coconut, sesame seeds, semolina, gram flour"
Khandvi,Indian snack,vegetarian,"Green chili paste, white sesame seeds, gram flour, curry leaves, green chili"
Khar,Indian main course,vegetarian,"Raw papaya, panch phoran masala, nigella seeds, mustard oil, fennel seeds"
Kheer,Indian dessert,vegetarian,"Milk, rice, sugar, dried fruits"
Kheer sagar,Indian dessert,vegetarian,"Chenna, condensed milk, sugar, saffron, cardamom"
Khichdi,Indian main course,vegetarian,"Moong dal, green peas, ginger, tomato, green chili"
Khichu,Indian snack,vegetarian,"Rice flour, sesame seeds, baking soda, peanut oil"
Khorisa,Indian main course,vegetarian,"Fermented bamboo shoot, potato, ginger, green, mustard oil"
Kibbeh,Arabic Snack,nonvegetarian,"Bulgur, minced onions, finely ground lean beef or lamb, Middle Eastern spices"
Kimchi Bokumbab,Korean,nonvegetarian,"Cabbage Kimchi, Stir fried eggs, rice, seaweed, sesame seeds, spring onion"
Kimchi Toast,Korean,vegetarian," cream cheese, chopped kimchi, scallions,country-style bread, sesame seeds,  cilantro leaves"
Kimchi and Miso Noodle Soup,Korean,vegetarian,"scallions, cloves of garlic,cabbage kimchi, tofu "
Knafeh,Arabic Dessert,vegetarian,"Kataifi dough, sweet cheese, syrup, pistachios"
Kofta,Indian main course,vegetarian,"Paneer, potato, cream, corn flour, garam masala"
Koldil Chicken,Indian main course,nonvegetarian,"Banana flower, chicken, green chili, mustard oil, lemon juice"
Koldil Duck,Indian main course,nonvegetarian,"Rice flour, mutton, banana, gram flour, olive oil, baking powder"
Kolim Jawla,Indian main course,nonvegetarian,"Baingan, fish, coconut oil, fresh coconut, ginger"
Kombdi vade,Indian snack,vegetarian,"Rice flour, urad dal, wheat flour, gram flour, turmeric"
Konir Dom,Indian main course,nonvegetarian,"Aloo, tomatoes, mustard oil, bay leaf, cinnamon stick"
Kootu,Indian main course,vegetarian,"Chana dal, urad dal, potato, beans, peas"
Korean fried Chicken,Korean,nonvegetarian," korean sauce, boneless chicken,sesame seeds"
Kos kootu,Indian main course,vegetarian,"Moong dal, chana dal, cabbage, tamarind, curry leaves"
Koshambri,Indian main course,vegetarian,"Moong dal, cucumber, curry leaves, green chili, lemon juice"
Koshimbir,Indian main course,vegetarian,"Cucumber, carrot, tomatoes, cilantro"
Kothamali sadam,Indian main course,vegetarian,"Chana dal, urad dal, gooseberry, raw rice, curry leaves"
Kulfi falooda,Indian dessert,vegetarian,"Rose syrup, falooda sev, mixed nuts, saffron, sugar"
Kumol Sawul,Indian main course,nonvegetarian,"Rice, eggs, carrot, beetroot"
Kunafah,Arabic Dessert,vegetarian,"Kataifi dough, mozzarella cheese, unsalted butter, sugar, water, lemon juice, orange blossom water, ground pistachios for garnish"
Kutchi dabeli,Indian snack,vegetarian,"Pav, aloo, peanut, pomegranate, star anise"
Kuzhakkattai,Indian main course,vegetarian,"Sesame oil, raw rice, jaggery, grated coconut"
Kuzhambu,Indian main course,vegetarian,"Pearl onions, urad dal, drumsticks, tomato, curry leaves"
Kuzhi paniyaram,Indian dessert,vegetarian,"Black lentils, rice"
Laapsi,Indian main course,vegetarian,"Cinnamon, jaggery, clarified butter, dry roasted"
Laddu,Indian dessert,vegetarian,"Gram flour, ghee, sugar"
Lamb Shashlik,Indian,nonvegetarian,"minced lamb marinated with indian spices, garlic, ginger, coriander, yogurt, turmeric, cloves"
Lamb Tikka,Indian,nonvegetarian,"Boneless Lamb, Turmeric powder, corriender powder, cumin powder, yogurt, garlic, giner"
Lamb and Green Squash Dumplings,Chinese,nonvegetarian,"Squash, zucchini, scallions, soya sauce, ginger, cooking wine, vineger, all purpose flour, sichuan peppercorns,ground lamb,"
Lassi,Indian dessert,vegetarian,"Yogurt, milk, nuts, sugar"
Lauki ke kofte,Indian main course,vegetarian,"Bottle gourd, garam masala powder, gram flour, ginger, chillies"
Lauki ki subji,Indian main course,vegetarian,"Bottle gourd, coconut oil, garam masala, ginger, green chillies"
Ledikeni,Indian dessert,vegetarian,"Chhena, sugar, ghee"
Lemon-Ginger Cake with Pistachios,Dessert,nonvegetarian,"egg yolks,lemon juice, unsalted butter, all purpose flour, sugar, ginger, milk"
Lemony Crab Salad with Baby Greens,Healthy Food,nonvegetarian,"Lemon juice, olive oil, crab, lecttus, paper,salt, vineger"
Lentil Soup,Healthy Soup,vegetarian,"Lentils, carrots, onions, celery, tomatoes, seasoning"
Lilva Kachori,Indian snack,vegetarian,"Green garlic chutney, fresh green peas, ginger, lemon juice, plain flour"
Litti chokha,Indian main course,vegetarian,"Wheat flour, roasted gram flour, tomato, nigella seeds, chilli"
Luchi,Indian main course,vegetarian,"Maida, vegetable oil"
Luqaimat,Arabic Dessert,vegetarian,"Flour, yeast, sugar, saffron, cardamom"
Lyangcha,Indian dessert,vegetarian,"Flour, fried milk power, sugar syrup"
Maach Jhol,Indian main course,nonvegetarian,"Fish, potol, tomato, chillies, ginger, garlic"
Mag Dhokli,Indian snack,vegetarian,"Moong beans, jaggery, red chillies, oil, salt"
Mahim halwa,Indian dessert,vegetarian,"Semolina, sugar"
Makki di roti sarson da saag,Indian main course,vegetarian,"Palak, makki atta, mustard green, garam masala, ginger"
Malapua,Indian dessert,vegetarian,"Yoghurt, refined flour, ghee, fennel seeds"
Manakeesh,Arabic Snack,vegetarian,"Dough, za'atar, olive oil, cheese or ground meat"
Mandi,Arabic Main Course,nonvegetarian,"Rice, chicken or lamb, saffron, cardamom pods, cloves, cinnamon sticks, bay leaves, onions, garlic, dried lime (loomi), cumin powder, coriander powder, salt, black pepper, ghee (clarified butter)"
Maqluba,Arabic Main Course,nonvegetarian,"Rice, chicken or lamb, potatoes, cauliflower, eggplant, tomatoes, spices"
Masala Dosa,Indian snack,vegetarian,"Chana dal, urad dal, potatoes, idli rice, thick poha"
Masor Koni,Indian main course,nonvegetarian,"Fish roe, pumpkin flowers, mustard oil, turmeric, tomato"
Masor tenga,Indian main course,nonvegetarian,"Ridge gourd, fish, lemon, tomatoes, mustard oil"
Mawa Bati,Indian dessert,vegetarian,"Milk powder, dry fruits, arrowroot powder, all purpose flour"
Mediterranean Bowl,Healthy Main Course,vegetarian,"Quinoa, hummus, falafel, tomato, cucumber, tahini sauce"
Melted Broccoli Pasta With Capers and Anchovies,French,nonvegetarian,"broccoli,Bread Crumbs,  anchovy fillets, garlic cloves,  red pepper flakes, penne pasta, olive oil"
Methi na Gota,Indian main course,vegetarian,"Rava, gram flour, lemon juice, turmeric, fenugreek leaves"
Mhalbi,Arabic Dessert,vegetarian,"Rice, milk, sugar, cinnamon, pistachios"
Mihidana,Indian dessert,vegetarian,"Besan flour, sugar, ghee"
Mishti Chholar Dal,Indian main course,vegetarian,"Chana dal, fresh coconut, ginger, cinnamon, raisins"
Misi roti,Indian main course,vegetarian,"Whole wheat flour, chickpea flour, green chilies"
Miso-Butter Roast Chicken With Acorn Squash Panzanella,Japanese,nonvegetarian,"chicken, acorn squash,sage, rosemary, butter"
Misti doi,Indian dessert,vegetarian,"Milk, jaggery"
Modak,Indian dessert,vegetarian,"Rice flour, coconut, jaggery "
Mohanthal,Indian dessert,vegetarian,"Rose water, pistachio, badam, bengal gram flour, saffron"
Mujaddara,Arabic Main Course,vegetarian,"Lentils, rice, onions, cumin, olive oil"
Mushroom Manchruian,Indian,vegetarian,"Mushroom, Panner, Soy sauce, ketchup, Viniger,onion, corriender, Indian Spices"
Mushroom Rice,Nepalese,vegetarian,"Mushroom, Rice, Cumin Seeds"
Mushroom Risotto,Healthy Main Course,vegetarian,"Arborio rice, mushrooms, vegetable stock, parmesan cheese, garlic"
Mushroom do pyaza,Indian main course,vegetarian,"Mushroom, malai, garam masala, ginger, capsicum"
